movieid,actorid,actor_movie_rank
3189,1072584,3
3189,2049627,1
3189,3649447,4
3189,3825023,2
3207,607316,1
3207,2145993,4
3207,3426287,3
3207,3513128,2
3216,523435,4
3216,581911,1
3216,951580,3
3216,3413531,2
3233,606633,1
3233,608635,4
3233,1402001,2
3233,3375959,3
3239,837734,3
3239,2495559,4
3239,2532241,1
3239,3076964,2
3323,278679,2
3323,718017,4
3323,2875249,3
3323,3619702,1
3366,1329956,1
3366,2427896,3
3366,2494359,4
3366,2557253,2
3467,238391,4
3467,1167048,3
3467,1480185,1
3467,1760831,2
3854,1351913,4
3854,1739265,3
3854,2076540,2
3854,3405985,1
3906,1060304,1
3906,1761219,2
3906,2433640,4
3906,2452267,3
3961,1793283,1
3961,1929540,4
3961,2805709,2
3961,2961547,3
4057,1014988,1
4057,1342347,4
4057,1698048,3
4057,3426176,2
4064,810424,4
4064,1061413,3
4064,1892087,1
4064,3807179,2
4068,470697,2
4068,1983799,1
4068,2131839,4
4068,2816072,3
4072,353718,1
4072,1671991,2
4072,2472056,4
4072,3339939,3
4076,283459,4
4076,313166,2
4076,542238,1
4076,861346,3
4132,713207,4
4132,938435,2
4132,1290791,1
4132,3898471,3
4152,277808,3
4152,290614,2
4152,630173,1
4152,3431089,4
4252,396877,4
4252,1069742,2
4252,2312401,1
4252,2665816,3
4354,128645,2
4354,316365,4
4354,1907368,3
4354,3900269,1
4681,485553,1
4681,830152,3
4681,1405458,4
4681,2605571,2
4869,1253701,3
4869,1483828,4
4869,2355195,1
4869,2805709,2
4999,498094,4
4999,1229838,3
4999,2055016,1
4999,3464199,2
5000,1206315,1
5000,1348041,3
5000,1900518,2
5000,3632088,4
5044,225389,3
5044,520603,4
5044,2108815,1
5044,2166109,2
5076,665569,2
5076,724992,3
5076,1049512,1
5076,2769988,4
5078,618247,1
5078,1158040,2
5078,3191522,3
5078,3373644,4
5123,1297720,3
5123,1309137,2
5123,1953875,1
5123,2392683,4
5161,1817602,3
5161,1856129,1
5161,2276255,4
5161,3120951,2
5171,2454190,3
5171,2520743,4
5171,2963551,1
5171,3763705,2
5324,1335137,3
5324,1839848,1
5324,2746767,4
5324,2997171,2
5914,61523,2
5914,1681146,1
5914,2411110,4
5914,3890203,3
5915,621487,4
5915,702631,3
5915,1292135,1
5915,2532241,2
5959,1273531,3
5959,1726318,4
5959,2805154,2
5959,3257358,1
6057,386263,1
6057,721841,4
6057,2260528,3
6057,2481470,2
6058,17838,1
6058,623809,4
6058,692749,3
6058,2991079,2
6097,61523,4
6097,591435,2
6097,1329956,1
6097,3116114,4
6163,511361,4
6163,1072668,3
6163,2312401,1
6163,3471294,2
6166,719241,2
6166,2613454,4
6166,2731923,1
6166,3568607,3
6185,755967,2
6185,2284269,1
6185,2899766,4
6185,3121684,3
6425,713207,4
6425,1808442,1
6425,3544742,3
6425,3951524,2
7062,96585,1
7062,172359,2
7062,455857,3
7062,1049512,4
7149,225715,2
7149,2274023,3
7149,2647481,4
7149,3763705,1
7202,630676,3
7202,665574,2
7202,2082212,4
7202,3650577,1
7212,2149685,3
7212,2197978,1
7212,2476125,4
7212,2481470,2
7232,61523,2
7232,1606367,1
7232,3747431,3
7232,3762843,4
7235,339013,4
7235,1190192,3
7235,1374719,2
7235,3805632,1
7247,1792455,4
7247,1907368,2
7247,2436599,3
7247,3558986,1
7320,277151,4
7320,542238,3
7320,1198397,1
7320,3632088,2
7755,878356,2
7755,1860883,1
7755,2946264,3
7755,3704908,4
8779,565786,1
8779,987727,2
8779,1170039,3
8779,2689164,4
8860,322458,3
8860,720541,2
8860,952910,1
8860,2655416,4
8862,602906,3
8862,2131839,1
8862,2329949,4
8862,3599993,2
8865,2430898,1
8865,2867955,2
8865,3373136,3
8865,3447369,4
8901,1021526,4
8901,1260631,3
8901,1892087,1
8901,3898471,2
8903,515252,2
8903,1463669,4
8903,3618428,1
8903,3838861,3
8929,99457,4
8929,461637,2
8929,2277581,1
8929,3730286,3
8935,377600,4
8935,2312401,1
8935,2369664,3
8935,3813562,2
8939,263611,4
8939,2558605,1
8939,2665816,2
8939,2681348,3
9417,2520743,4
9417,2532241,3
9417,2823711,1
9417,3076964,2
9419,733545,2
9419,749056,1
9419,1747719,3
9419,2408311,4
9420,1292135,1
9420,1323070,4
9420,3301462,2
9420,3571456,3
9432,724992,2
9432,2654869,1
9432,2757658,3
9432,3811626,4
9438,872868,2
9438,2413133,1
9438,2682129,3
9438,2819679,4
9441,1216582,4
9441,1781042,1
9441,2340377,2
9441,3907210,3
9443,68671,4
9443,277151,2
9443,406221,3
9443,3168573,1
9448,499028,2
9448,651056,3
9448,3134858,4
9448,3425734,1
9514,350376,3
9514,2083024,2
9514,2476829,1
9514,3783897,4
9739,562270,2
9739,831209,3
9739,3756760,4
9739,3781744,1
9753,973296,4
9753,1637467,3
9753,2102051,1
9753,3019879,2
9775,715492,2
9775,2125863,4
9775,3097703,3
9775,3648407,1
9779,337981,2
9779,1771318,1
9779,2806255,3
9779,3368894,4
9782,2275105,1
9782,2338959,1
9782,3017359,2
9782,3788413,2
9797,458558,1
9797,1793283,2
9797,2871653,4
9797,3292476,3
9807,755909,2
9807,1658441,3
9807,1767026,1
9807,1823127,4
9816,608635,4
9816,642688,3
9816,901175,1
9816,1978197,2
9818,45899,1
9818,1292135,3
9818,1395789,4
9818,2312401,2
9821,312142,1
9821,782027,2
9821,3249812,3
10059,133985,1
10059,925935,3
10059,2678332,4
10059,3650577,2
10143,1542279,3
10143,2177227,4
10143,2745228,1
10143,3310162,2
10156,1049512,1
10156,1584763,3
10156,2472635,2
10156,2870323,4
10157,310310,2
10157,486691,4
10157,925935,3
10157,3251912,1
10178,176713,2
10178,412301,1
10178,2672983,3
10178,3251912,4
10227,416857,3
10227,1853425,1
10227,3509936,4
10227,3520350,2
10234,319124,3
10234,353746,4
10234,2706646,1
10234,2963551,2
10241,408123,1
10241,450680,4
10241,462304,3
10241,1771318,2
